Rara avis.;	Un moution à cinq pattes.;
To pull the devil by the tail.;	Tirer le diable par la queue.;
To cast a slur on someone’s reputation.;	Entacher la réputation.;
To be between the devil and the deep blue sea.;	Etre entre l’enclume et le marteau.;
To tread on air.;	Etre aux anges.;
A round peg in a square hole.;	Ne pas être à sa place.;
To be under someone’s thumb.;	C’est elle qui porte la culotte.;
To be busy as a bee.;	Faire feu des quatre fers.;
To take oneself in hand.;	Se dominer.;
It’s still all up in the air.;	Ce n’est pas dans la poche.;
To be in the air.;	Rester en suspens.;
To hang by a thread.;	Ne tenir qu’à un fil.;
To sit on the phone.;	Etre pendu au téléphone.;
To be up in the clouds.;	Etre dans la lune.;
To twist someone round one’s little finger.;	Mener qn par le bout du nez.;
To draw the wool over someone’s eyes.;	Mener qn en bateau.;
As thick as thieves.;	Ils sont (comme) les deux doigts de la main.;
He wouldn’t hurt a fly.;	Il est doux comme un agneau.;
One’s hair stands like a mountain.;	Une histoire à faire dresser les cheveux.;
That’s the heart of the matter.;	C’est là que gît le lièvre.;
Not fit to hold a candle to someone.;	Ne pas arriver à la cheville de qn.;
To get out of bed on the wrong side.;	Se lever du pied gauche.;
To put a spoke in someone’s wheel.;	Mettre des bâtons dans les roues.;
To be out of the swaddling-clothes.;	Voler de ses propres  ailes.;
To fly off the handle.;	Sortir de ses gonds.;
To root something out.;	Faire table rase.;
Hungry as a hunter.;	Il a une faim de loup.;
He wishes the ground would open under him.;	Il veut être à cent pieds sous terre.;
To make a mountain out of a molehill.;	Faire d’une mouche un éléphant.;
Rolling in money.;	Etre cousu d’or.;
To go to the end of the earth to get something.;	Remuer ciel et terre pour trouver qch.;
Open-hearted.;	Avec le cœur sur la main.;
One’s heart sank into one’s boot.;	Il une peur bleue.;
To let the grass grow under one’s feet.;	Attendre que les alouettes vous tombent toutes rôties.;
To live a cat and dog life.;	S’entendre comme chien et chat.;
To sit on a powder keg.;	Danser sur un volcan.;
To put a line out.;	Sonder le terrain.;
To cover up one’s traces.;	Brouiller les pistes.;
Put it into your pipe and smoke it.;	Se mettre qch dans la tête.;
He won’t set the Thames on fire.;	Il n’a pas inventé la poudre.;
To know something like the palm of the hand.;	Connaître comme sa poche.;
To play first fiddle.;	Etre le fer de lance de qch.;
To play with edge-tools.;	Jouer avec le feu.;
To follow in someone’s footsteps.;	Marcher sur les pas de qn.;
To go against the stream.;	Aller à contre courant.;
To bare one’s heart.;	Ovrir son cœr.;
To look for a needle in a haystack.;	Chercher une aiguille dans une botte de foin.;
To see stars.;	Voir trente-six chandelles.;
To drink the cup to the end.;	Boire le calice jusqu’à la lie.;
As stiff as poker.;	Raide comme un piquet.;
To vanish into thin air.;	Disparu comme par enchantement.;
A load off one’s mind.;	Oter un poids à qn.;
Like a bolt from the blue.;	Comme un coup de foudre dans un ciel serein.;
As plain as the nose on your face.;	Clair comme le jour.;
To be on pins and needles.;	Il est sur des charbons ardents.;
You might as well talk to a brick wall.;	Autant parler à un sourd.;
To take to something like a duck to water.;	Comme un poisson dans l’eau.;
Packed like sardines.;	Serrés comme des harengs en boîte.;
To avoid someone or something lile the plague.;	Fuir qn ou qch comme le diable l’eau bénite.;
A heavy heart.;	Avoir le cœr lourd.;
To take something to pieces.;	Ne pas laisser pierre sur pierre.;
A drop in the ocean.;	Une goutte d’eau dans la mer.;
To live in clover.;	Vivre comme un coq en pâte.;
Nail drives out nail.;	Un clou chasse l’autre.;
A fine gesture.;	Un beau geste.;
Red as a lobster.;	Rouge comme une tomate.;
A hard nut to crack.;	Un dur à cuire.;
To shout from the house tops.;	Crier sur les toits.;
To see which way the cat jumps.;	Changer des idées comme des chemises.;
To buy a pig in a poke.;	Acheter chat en poche.;
To bring grist to someone’s mill.;	Faire le jeu de qn.;
It rains cats and dogs.;	Il pleut à seaux.;
To take someone at his word.;	Prendre qn au mot.;
To fish in troubled waters.;	Pêcher en eau trouble.;
To cudgel one’s brains over something.;	Se creuser la tête.;
To knock at an open door.;	Enfoncer une porte ouverte.;
To measure another’s corn by one’s own bushel.;	Mesurer les autres à son aune (=71 cm).;
To hurl thunderbolt.;	Jeter feu et flamme.;
It’s a small world.;	Le monde est petit.;
To keep mum.;	Tenir la bouche cousue.;
To pull strings.;	Faire jouer tous les ressorts.;
To call a spade a spade.;	Appeler un chat un chat.;
Not to see an inch beyond one’s nose.;	Ne pas voir plus loin que le bout de son nez.;
Dumb as an oyster.;	Muet comme une carpe.;
To plough the sand.;	Perdre son temps.;
To promise the moon.;	Promettre monts et merveilles.;
To beat the air.;	Donner un coup d’épée.;
To swim like a stone.;	Nager comme un fer à repasser.;
To sit twiddling one’s thumps.;	Ne rien faire de ses diz doigts.;
To be in someone’s shoes.;	Etre dans la peau de qn.;
To put one’s tail between one’s leg.;	Avoir l’oreille basse.;
As like as two peas in a pod.;	Se ressembler comme deux gouttes d’eau.;
To drive someone into a corner.;	Mettre qn au pied du mur.;
To go through fire and water.;	En voir de toutes les couleurs.;
To saw off the bough on which one is sitting.;	Scier la branche sur laquelle on est assis.;
A knowing old bird.;	Il en a vu d’autres.;
To use a sledge-hammer to crack a nut.;	Tirer sa poudre aux moineaux.;
To kill two birds with one stone.;	Faire d’une pierre deux coups.;
To beat about the bush.;	Tourner autour du pot.;
Thin as a rake.;	Maigre comme un clou.;
