Don’t look a gift horse in the mouth.;Дарованому коневі в зуби не заглядають.;
Don’t make a mountain out of a molehill.;Не роби з мухи слона.;
Forbidden fruit is sweetest.;Заборонений плід — солодкий.;
Give a fool rope enough, and he will hang himself.;Застав дурня Богу молитися, так він лоб розіб’є.;
He laughs best who laughs last.;Добре сміється той, хто сміється останнім.;
He that never climbed never fell.;Не помиляється той, хто нічого не робить.;
Hope springs eternal in the human breast.;Надія вмирає останньою.;
If you run after two hares, you’ll catch none.;За двома зайцями поженешся — жодного не піймаєш.;
Little things amuse [please] little minds.;Народжений повзати літати не буде.;
Like father, like son.;Яблуко від яблуні не далеко падає.;
Measure for measure.;Око за око, зуб за зуб.;
Might goes before right.;Сила є, розуму не треба.;
No news is good news.;Відсутність новин — добра новина.;
Not a pin to choose between them.;Один другого вартий.;
Not all that glitters is gold.;Не все золото, що блищить.;
Nothing comes out of the sack but what was in it.;Вище від голови не стрибнеш.;
Old friends and old wine are best.;Старий друг — кращий двох нових.;
Practice makes perfect.;Повторення — мати навчання.;
Promises are like pie crust, made to be broken.;Обіцяного три роки чекають.;
Saying and doing are two things.;Легше сказати, ніж зробити.;
Score twice before you cut once.;Сім разів відміряй, один раз відріж.;
Second thoughts are best.;Сім раз відміряй, один раз відріж.;
The best is often the enemy of the good.;Від добра добра не шукають.;
The cat would eat fish and would not wet her feet.;І хочеться, і колеться.;
The cobbler’s wife is the worst shod.;Чоботар ходить без чобіт.;
The cow knows not the worth of her tail till she loses it.;Що маємо — не бережемо, а втративши — плачемо.;
The early bird catches the worm.;Хто рано встає, тому Бог дає.;
There is many a slip between the cup and the lip.;Не говори «гоп», поки не перестрибнеш.;
Too many cooks spoil the broth.;У семи няньок дитина без ока.;Де дві господині, там хата неметена.;
Too much knowledge makes the head bald.;Багато будеш знати — швидко зістарієшся.;
Wise men learn by other men’s mistakes, fools by their own.;Мудрий вчиться на чужих помилках, а дурень — на своїх.;
With time and patience the leaf of the mulberry becomes satin.;Терпіння і труд все перетруть.;
A bad beginning makes a bad ending;Поганий початок веде до поганого закінчення.;
A bad compromise is better than a good lawsuit;Поганий мир кращий за добру сварку.;
A bad workman blames his tools (A bad workman quarrels with his tools);Поганий працівник лає свої інструменти (поганому танцюристу завжди щось заважає).;
A bargain is a bargain;Угода дорожча за гроші.;
A beggar can never be bankrupt;Бідний ніколи не збанкрутує.;
A bird in the hand is worth two in the bush;Краще одна пташка в руках, ніж дві в кущах (Краще синиця в руках, ніж журавель у небі).;
A broken friendship may be soldered, but will never be sound.; Тріснуту дружбу можна спаяти, але вона ніколи вже не буде міцною (Тріснуте горнятко не склеїш).;
A burden of one’s own choice is not felt;Вантаж, який сам вибрав, несеш не чуючи. (Своя ноша не тягне).;
A burnt child dreads the fire;Обпікшись дитя вогню боїться. (Обпікшись на молоці, будеш дути й на воду).;
A cat in gloves catches no mice;Кіт у рукавичках мишей не спіймає. (Під лежачий камінь вода не тече).;
A civil denial is better than a rude grant;Ввічлива відмова краща, ніж груба згода.;
A clean fast is better than a dirty breakfast;Чесний піст кращий, ніж брудний сніданок. (Краще бідність та чесність, ніж прибуток та сором).;
A clean hand wants no washing;Чисту руку мити не потрібно. (Правду прикрашати нема потреби).;
A danger foreseen is half avoided;Хто знає про небезпеку, що насувається, той наполовину уникнув її. (Попереджений – значить озброєний).;
A drop in the bucket;Крапля у відрі. (Крапля в морі).;
A drowning man will catch at a straw.;Потопаючий і за соломинку схопиться.;
A fair face may hide a foul heart.;За прекрасною зовнішністю може ховатися низька душа.;
A fault confessed is half redressed.;Визнана вина наполовину відкуплена. (Повинну голову меч не січе).;
A fly in the ointment;Муха в бальзамі. (Ложка дьогтю в бочці меду).;
A fool at forty is a fool indeed.;Дурень в сорок років остаточно дурень. (Горбатого могила виправить).;
A fool may ask more questions in an hour than a wise man can answer in seven years.;Розумний сім років не відповість на запитання, які дурень поставить за одну годину. (На кожного дурня розуму не напасешся).;
A fool’s tongue runs before his wit.;Дурень спершу говорить, а потім думає.;
A foul morn may turn to a fair day;Похмурий ранок може змінитися ясним днем. (Ніч найтемніша перед світанком).;
A friend in need is a friend indeed;Друг в біді – це справжній друг. (Друзі пізнаються в біді).;
A friend’s frown is better than a foe’s smile.;Краще похмуре обличчя друга, ніж посмішка ворога.;
A good beginning is half the battle;Гарний початок – половина бою.;
A good Jack makes a good Jill;У хорошого Джека і Джіл хороша. (У хорошого чоловіка і дружина хороша).;
A good marksman may miss.;І хороший стрілок може промахнутися.;
A good name is better than riches;Добре ім’я – краще, ніж багатство.;
A good name is sooner lost than won;Хорошу репутацію легше втратити, ніж набути.;
A great fortune is a great slavery;Великі статки – велике рабство. (Більше грошей – більше клопоту).;
A great ship asks deep waters;Великий корабель потребує глибоку воду. (Великому кораблю – велике плавання).;
A hedge between keeps friendship green;Коли між друзями огорожа, то і дружба довша.;
A hungry belly has no ears;Голодне черево не має вух.;
A man can die but once;Померти людина може лише один раз. (Чи пан, чи пропав – двічі не вмирати).;
A man can do no more than he can;Більше того, що можеш, не зробиш. (Вище голови не стрибнеш).;
A man is known by the company he keeps;Людина пізнається за її друзями. (Скажи мені, хто твій друг, і я скажу тобі, хто ти).;
A penny saved is a penny gained;Пенні заощаджене – все одно, що пенні зароблене.;
A quiet conscience sleeps in thunder;З чистою совістю і в грозу спиться.;
A round peg in a square hole;Круглий стержень в квадратній дірці. (Людина не на своєму місці).;
A shy cat makes a proud mouse;У боязкої кішки миша хвалькувата.;
A silent fool is counted wise;Мовчазний дурень схожий за розумника.;
A small leak will sink a great ship;Маленька дірка великий корабель на дно пустить.;
A storm in a teacup;Шторм в чайній чашці. (Буря в склянці води).;
A thief knows a thief as a wolf knows a wolf;Злодій впізнає злодія так само, як вовк впізнає вовка. (Рибак рибака бачить здалеку).;
A thief passes for a gentleman when stealing has made him rich;Коли злодійство зробило злодія багатим, то він схожий на джентльмена. (Гроші не пахнуть).;
A tree is known by its fruit;Дерево пізнається за плодами. (Яблуко від яблуньки далеко не падає).;
A watched pot never boils.;Казанок, за яким спостерігають, ніколи не закипає.;
A wolf in sheep’s clothing;Вовк в овечій шкурі.;
A word spoken is past recalling;Сказаного не повернеш. (Слово – не горобець, вилетить – не впіймаєш).;
Adversity is a great schoolmaster;Нещастя – великий вчитель. (Біда мучить, біда і навчить).;
After a storm comes a calm;Після бурі настає затишшя.;
After dinner comes the reckoning;Після обіду доводиться платити. (Любиш кататися, люби і санки возити).;
After us the deluge;Після нас хоч потоп.;
